Key,English,Japanese,Korean,Taiwan,Chinese,French,Spanish,Portuguese,Thai,Indonesian,Vietnamese,Russian,German
[ErrorMessage5000108],DMM GAMESとの連携機能がメンテナンス中です,DMM GAMESとの連携機能がメンテナンス中です,DMM GAMESとの連携機能がメンテナンス中です,DMM GAMESとの連携機能がメンテナンス中です,DMM GAMESとの連携機能がメンテナンス中です,DMM GAMESとの連携機能がメンテナンス中です,DMM GAMESとの連携機能がメンテナンス中です,DMM GAMESとの連携機能がメンテナンス中です,DMM GAMESとの連携機能がメンテナンス中です,DMM GAMESとの連携機能がメンテナンス中です,DMM GAMESとの連携機能がメンテナンス中です,DMM GAMESとの連携機能がメンテナンス中です,DMM GAMESとの連携機能がメンテナンス中です
[ErrorMessage5000109],DMM GAMESとの連携情報が見つかりません,DMM GAMESとの連携情報が見つかりません,DMM GAMESとの連携情報が見つかりません,DMM GAMESとの連携情報が見つかりません,DMM GAMESとの連携情報が見つかりません,DMM GAMESとの連携情報が見つかりません,DMM GAMESとの連携情報が見つかりません,DMM GAMESとの連携情報が見つかりません,DMM GAMESとの連携情報が見つかりません,DMM GAMESとの連携情報が見つかりません,DMM GAMESとの連携情報が見つかりません,DMM GAMESとの連携情報が見つかりません,DMM GAMESとの連携情報が見つかりません
[ErrorMessage5000110],他のアカウントデータとDMMアカウントが連携しています<br>再度このアカウントデータとDMMアカウントを連携させてください,他のアカウントデータとDMMアカウントが連携しています<br>再度このアカウントデータとDMMアカウントを連携させてください,他のアカウントデータとDMMアカウントが連携しています<br>再度このアカウントデータとDMMアカウントを連携させてください,他のアカウントデータとDMMアカウントが連携しています<br>再度このアカウントデータとDMMアカウントを連携させてください,他のアカウントデータとDMMアカウントが連携しています<br>再度このアカウントデータとDMMアカウントを連携させてください,他のアカウントデータとDMMアカウントが連携しています<br>再度このアカウントデータとDMMアカウントを連携させてください,他のアカウントデータとDMMアカウントが連携しています<br>再度このアカウントデータとDMMアカウントを連携させてください,他のアカウントデータとDMMアカウントが連携しています<br>再度このアカウントデータとDMMアカウントを連携させてください,他のアカウントデータとDMMアカウントが連携しています<br>再度このアカウントデータとDMMアカウントを連携させてください,他のアカウントデータとDMMアカウントが連携しています<br>再度このアカウントデータとDMMアカウントを連携させてください,他のアカウントデータとDMMアカウントが連携しています<br>再度このアカウントデータとDMMアカウントを連携させてください,他のアカウントデータとDMMアカウントが連携しています<br>再度このアカウントデータとDMMアカウントを連携させてください,他のアカウントデータとDMMアカウントが連携しています<br>再度このアカウントデータとDMMアカウントを連携させてください
[ErrorMessage5000111],DMM GAMESとの連携情報が見つかりません,DMM GAMESとの連携情報が見つかりません,DMM GAMESとの連携情報が見つかりません,DMM GAMESとの連携情報が見つかりません,DMM GAMESとの連携情報が見つかりません,DMM GAMESとの連携情報が見つかりません,DMM GAMESとの連携情報が見つかりません,DMM GAMESとの連携情報が見つかりません,DMM GAMESとの連携情報が見つかりません,DMM GAMESとの連携情報が見つかりません,DMM GAMESとの連携情報が見つかりません,DMM GAMESとの連携情報が見つかりません,DMM GAMESとの連携情報が見つかりません
[ErrorMessage5000200],DMMポイント確認に失敗しました,DMMポイント確認に失敗しました,DMMポイント確認に失敗しました,DMMポイント確認に失敗しました,DMMポイント確認に失敗しました,DMMポイント確認に失敗しました,DMMポイント確認に失敗しました,DMMポイント確認に失敗しました,DMMポイント確認に失敗しました,DMMポイント確認に失敗しました,DMMポイント確認に失敗しました,DMMポイント確認に失敗しました,DMMポイント確認に失敗しました
[ErrorMessage5000201],DMM月額課金サービスデータが存在しません,DMM月額課金サービスデータが存在しません,DMM月額課金サービスデータが存在しません,DMM月額課金サービスデータが存在しません,DMM月額課金サービスデータが存在しません,DMM月額課金サービスデータが存在しません,DMM月額課金サービスデータが存在しません,DMM月額課金サービスデータが存在しません,DMM月額課金サービスデータが存在しません,DMM月額課金サービスデータが存在しません,DMM月額課金サービスデータが存在しません,DMM月額課金サービスデータが存在しません,DMM月額課金サービスデータが存在しません
[ClientErrorMessage1],An HTTP error has occurred.<br>Status Code : {0},HTTPエラーが発生しました<br>Status Code : {0},HTTP 오류가 발생했습니다.<br>Status Code : {0},發生HTTP錯誤。<br>Status Code : {0},发生HTTP错误。<br>Status Code : {0},Une erreur HTTP est survenue.<br>Status code : {0},Ha ocurrido un error HTTP.<br>Código de estado: {0},Ocorreu um erro de HTTP.<br>Código de status: {0},เกิดข้อผิดพลาด HTTP<br>รหัสสถานะ : {0},Telah terjadi eror HTTP.<br>Kode Status: {0},Đã xảy ra lỗi HTTP.<br>Mã trạng thái: {0},Возникла ошибка HTTP.<br>Код статуса: {0},Ein HTTP-Fehler ist aufgetreten.<br>Statuscode: {0}
[ClientErrorMessage2],A timeout has occurred.,タイムアウトが発生しました,타임 아웃이 발생했습니다.,連線逾時。,联机超时。,Délai d'attente expiré,Ocurrió un error de sincronización.,Tempo limite atingido.,หมดเวลาเชื่อมต่อ,Telah terjadi timeout.,Đã quá thời gian chờ.,Превышение времени ожидания.,Eine Zeitüberschreitung ist aufgetreten.
[ClientErrorMessage3],Please check your network environment.,通信環境を確認してください,네트워크 환경을 확인해 주세요.,請檢查網路連線。,请检查网络环境。,Veuillez vérifier votre connexion.,Comprueba el entorno de tu red.,Verifique sua conexão.,โปรดตรวจสอบเครือข่ายของคุณ,Harap periksa jaringanmu.,Vui lòng kiểm tra môi trường mạng của bạn.,Проверьте свое соединение.,Bitte überprüfe deine Netzwerkumgebung.
[ClientErrorMessage4],The timestamp is invalid.,タイムスタンプが無効です,유효하지 않은 타임 스탬프입니다.,無效的時間標記。,无效的时间戳。,Horodatage invalide,La marca de tiempo no es válida.,Carimbo de data/hora inválido.,ไทม์แสตมป์ไม่ถูกต้อง,Stempel waktu tidak valid.,Dấu thời gian không hợp lệ.,Неверная отметка времени.,Dieser Zeitstempel ist ungültig.
[ClientErrorMessage5],An error has occurred.<br>Returning to the title screen.,エラーが発生しました。<br>タイトルに戻ります。,오류가 발생했습니다.<br>타이틀 화면으로 돌아갑니다.,系統發生錯誤。<br>將返回登入畫面。,发生错误。<br>即将返回登录界面。,Une erreur est survenue.<br>Retour à l'écran titre.,Ocurrió un error.<br>Volviendo al título.,Ocorreu um erro.<br>Retornando à tela de título.,เกิดข้อผิดพลาด<br>กลับไปยังหน้าเริ่มต้น,Telah terjadi eror.<br>Kembali ke layar judul.,Đã xảy ra lỗi.<br>Quay lại màn hình tiêu đề.,Произошла ошибка.<br>Возвращение на титульный экран.,Ein Fehler ist aufgetreten.<br>Kehre zum Titelbildschirm zurück.
[ClientErrorMessage6],An error has occurred.<br>Returning to the title screen.,エラーが発生しました。<br>タイトルに戻ります。,오류가 발생했습니다.<br>타이틀 화면으로 돌아갑니다.,系統發生錯誤。<br>將返回登入畫面。,发生错误。<br>即将返回登录界面。,Une erreur est survenue.<br>Retour à l'écran titre.,Ocurrió un error.<br>Volviendo al título.,Ocorreu um erro.<br>Retornando à tela de título.,เกิดข้อผิดพลาด<br>กลับไปยังหน้าเริ่มต้น,Telah terjadi eror.<br>Kembali ke layar judul.,Đã xảy ra lỗi.<br>Quay lại màn hình tiêu đề.,Произошла ошибка.<br>Возвращение на титульный экран.,Ein Fehler ist aufgetreten.<br>Kehre zum Titelbildschirm zurück.
[ClientErrorMessage7],The server has failed to respond.,レスポンス取得に失敗しました,서버가 응답하지 않습니다.,伺服器沒有回應。,服务器未响应。,Aucune réponse du serveur,El servidor ha fallado en responder.,Falha ao obter resposta.,เซิร์ฟเวอร์ไม่ตอบสนอง,Server gagal merespon.,Máy chủ không phản hồi.,Сервер не отвечает.,Der Server gab keine Rückantwort.
[ClientErrorMessage8],The master data’s version is invalid.,マスタデータバージョンが有効ではありません,마스터 데이터 버전이 유효하지 않습니다.,無效的主數據版本。,无效的主数据版本。,Version des données de référence invalide,La versión de los datos maestros no es válida.,A versão de dados mestre não é válida.,เวอร์ชันของมาสเตอร์ดาต้าไม่ถูกต้อง,Versi data master tidak valid.,Phiên bản của dữ liệu chính không hợp lệ.,Версия мастер-данных некорректна.,Die Version der Stammdaten ist ungültig.
[ClientErrorMessage9],The assets’ version is invalid.,アセットバージョンが有効ではありません,에셋 버전이 유효하지 않습니다.,無效的資源版本。,无效的资源版本。,Version d'asset invalide,La versión de los recursos no es válida.,A versão dos ativos não é válida.,เวอร์ชันของแอสเซทไม่ถูกต้อง,Versi aset tidak valid.,Phiên bản của nội dung không hợp lệ.,Версия ассетов некорректна.,Die Version der Inhalte ist ungültig.
[ClientErrorMessage10],Your token is invalid.,トークンが有効ではありません,토큰이 유효하지 않습니다.,無效的權限。,无效的权限。,Jeton d'authentification invalide,Tu token no es válido.,O token não é válido.,โทเคนไม่ถูกต้อง,Tokenmu tidak valid.,Token của bạn không hợp lệ.,Неверный идентификатор.,Dein Token ist ungültig.
[ClientErrorMessage11],A new version is available.<br>Please update and restart the app.,最新バージョンがあります<br>アプリを更新して再起動してください,최신 버전이 있습니다.<br>업데이트 후 다시 실행해 주세요.,版本更新。<br>請下載最新版本並重新啟動遊戲。,版本更新。<br>请下载最新版本并重新启动游戏。,"Une nouvelle version est disponible.<br>Veuillez mettre l'application à jour,<br>puis la redémarrer.",Una nueva versión está disponible.<br>Actualiza y reinicia la aplicación.,Há uma versão mais recente.<br>Atualize o aplicativo e então o reinicie.,เวอร์ชันใหม่พร้อมให้บริการแล้ว<br>โปรดอัปเดต แล้วจึงเข้าแอปอีกครั้ง,Versi baru telah tersedia.<br>Silakan update dan restart aplikasi.,Đã có phiên bản mới.<br>Vui lòng cập nhật và khởi động lại ứng dụng.,"Доступна новая версия.<br>Пожалуйста, обновите и перезапустите приложение.",Eine neue Version ist verfügbar.<br>Bitte aktualisiere die App und starte sie neu.
[ClientErrorMessage12],Returning to the title screen.,タイトルに戻ります,타이틀 화면으로 돌아갑니다.,返回登入畫面。,返回登录界面。,Retour à l'écran titre,Volviendo al título.,Retornando à tela de título.,กลับไปยังหน้าเริ่มต้น,Kembali ke layar judul.,Quay lại màn hình tiêu đề.,Возвращение на титульный экран.,Kehre zum Titelbildschirm zurück.
[ClientErrorMessage14],"The app has been accessed more times than<br>the regulated amount within a set time period,<br>so access has been blocked.<br><br>Please wait a little while, then restart the app.",一定時間内に規定回数以上のアクセスがありましたので<br>ブロックしました。<br><br>しばらくしてから再度アプリを起動してください。,한 번에 너무 많은 접속 시도가 있었습니다.<br><br>잠시 후에 다시 실행해 주세요.,由於在短時間內發生規定次數以上的大量存取，<br>您已被拒絕存取。<br><br>請間隔一段時間之後再重新啟動遊戲。,由于短时间内发生规定次数以上的大量访问，<br>您已被屏蔽。<br><br>请稍等片刻后重新启动游戏。,L'application a été bloquée suite à un<br>nombre d'accès supérieur à celui<br>prévu dans une période établie.<br><br>Patientez quelques instants puis<br>relancez l'application.,"Se ha accedido a la aplicación más veces<br>que la cantidad regulada dentro del periodo<br>establecido, así que el acceso quedó bloqueado.<br><br>Espera un poco y luego reinicia la aplicación.",Novos acessos foram bloqueados devido a<br>uma quantidade excessiva de acessos<br>em curto período.<br><br>Aguarde algum tempo antes de iniciar<br>o aplicativo novamente.,จำนวนครั้งในการเข้าสู่แอป<br>ในระยะเวลาที่กำหนดสูงกว่าปกติ<br>คุณจึงยังไม่สามารถเข้าสู่แอปได้ในขณะนี้<br><br>โปรดรอสักครู่แล้วจึงเข้าแอปอีกครั้ง,"Aplikasi telah diakses melebihi jumlah<br>yang sudah ditentukan dalam periode waktu yang<br>ditetapkan, sehingga akses telah diblokir.<br><br>Harap tunggu sebentar, lalu restart aplikasi.","Ứng dụng đã được truy cập quá số lần<br>quy định trong một khoảng thời gian đã định,<br>vì vậy quyền truy cập đã bị chặn.<br><br>Vui lòng đợi trong giây lát, rồi khởi động lại ứng dụng.","Превышено допустимое количество попыток<br>доступа к приложению за определенный период<br>времени, поэтому доступ был заблокирован.<br><br>Подождите немного и перезапустите приложение.","Der App-Zugriff wurde blockiert, da die Anzahl<br>der Zugriffe innerhalb der vorgegebenen Zeit<br>überschritten wurde.<br><br>Bitte warte einen Moment und starte dann die App neu."
[ClientErrorMessage15],An error has occurred.<br>Returning to the title screen.,エラーが発生しました。<br>タイトルに戻ります。,오류가 발생했습니다.<br>타이틀 화면으로 돌아갑니다.,系統發生錯誤。<br>將返回登入畫面。,发生错误。<br>即将返回登录界面。,Une erreur est survenue.<br>Retour à l'écran titre.,Ocurrió un error.<br>Volviendo al título.,Ocorreu um erro.<br>Retornando à tela de título.,เกิดข้อผิดพลาด<br>กลับไปยังหน้าเริ่มต้น,Telah terjadi eror.<br>Kembali ke layar judul.,Đã xảy ra lỗi.<br>Quay lại màn hình tiêu đề.,Произошла ошибка.<br>Возвращение на титульный экран.,Ein Fehler ist aufgetreten.<br>Kehre zum Titelbildschirm zurück.
[ClientErrorMessage101],The assets have failed to load.,アセットロードに失敗しました,에셋 로드에 실패했습니다.,資源載入失敗。,资源载入失败。,Échec du chargement des assets,No se han podido cargar los recursos.,Falha ao carregar ativos.,การโหลดแอสเซทล้มเหลว,Aset gagal dimuat.,Không thể tải nội dung.,Не удалось загрузить ассеты.,Inhalte konnten nicht geladen werden.
[ClientErrorMessage102],There is not enough space available.<br>({0}MB needed),アプリ容量がたりません({0}MBが必要),저장 공간이 부족합니다.({0}MB가 필요),儲存空間不足。(遊戲容量：{0}MB),游戏储存空间不足。（需要{0}MB）,Capacité de stockage insuffisante ({0} Mo requis),No hay suficiente espacio disponible.<br>({0} MB necesarios),Espaço insuficiente para o aplicativo<br>(são necessários {0} MB).,พื้นที่จัดเก็บไม่เพียงพอ<br>(ต้องใช้{0}MB),Tidak ada cukup ruang yang tersedia.<br>(membutuhkan {0}MB),Không đủ dung lượng trống.<br>(Cần {0}MB),Недостаточно свободного места.<br>(Требуется {0} MB),Nicht genug Speicherplatz verfügbar.<br>({0} MB benötigt)
[ClientErrorMessage201],Failed to load catalog data.,カタログデータのロードに失敗しました,카탈로그 데이터 로드에 실패했습니다.,目錄檔載入失敗。,目录文件加载失败。,Échec du chargement des données du catalogue,No se pudieron cargar los datos del catálogo.,Falha ao carregar dados de catálogo.,การโหลดแคตตาล็อกดาต้าล้มเหลว,Gagal memuat data katalog.,Không thể tải dữ liệu danh mục.,Не удалось загрузить данные каталога.,Fehler beim Laden der Katalogdaten.
[ClientErrorMessage202],Failed to download master data.,マスタデータのダウンロードに失敗しました,마스터 데이터 다운로드에 실패했습니다.,主數據下載失敗。,主数据下载失败。,Échec du téléchargement<br>des données de référence.,No se pudieron descargar los datos maestros.,Falha ao baixar dados mestre.,การดาวน์โหลดมาสเตอร์ดาต้าล้มเหลว,Gagal mengunduh data master.,Không thể tải xuống dữ liệu chính.,Не удалось скачать мастер-данные.,Fehler beim Herunterladen der Stammdaten.
[ClientErrorMessage203],Failed to load master data.,マスタデータロードに失敗しました,마스터 데이터 로드에 실패했습니다.,主數據載入失敗。,主数据加载失败。,Échec du chargement des données de référence,No se pudieron cargar los datos maestros.,Falha ao carregar dados mestre.,การโหลดมาสเตอร์ดาต้าล้มเหลว,Gagal memuat data master.,Không thể tải dữ liệu chính.,Не удалось загрузить мастер-данные.,Fehler beim Laden der Stammdaten.
[ClientErrorMessage204],Master data’s version is invalid.,マスタデータバージョンが有効ではありません,마스터 데이터 버전이 유효하지 않습니다.,無效的主數據版本。,无效的主数据版本。,Version des données de référence invalide,La versión de los datos maestros no es válida.,A versão de dados mestre não é válida.,เวอร์ชันของมาสเตอร์ดาต้าไม่ถูกต้อง,Versi data master tidak valid.,Phiên bản của dữ liệu chính không hợp lệ.,Версия мастер-данных некорректна.,Die Version der Stammdaten ist ungültig.
[ClientErrorMessage100401],Your link code has not been entered.,連携コードが入力されていません,연동 코드를 입력해 주세요.,尚未輸入連動代碼。,未输入绑定码。,Aucun code de liaison n'a été saisi.,Tu código no se ha ingresado.,O código de vinculação não foi inserido.,ไม่ได้กรอกรหัสการเชื่อมโยง,Kode tautanmu belum dimasukkan.,Bạn chưa nhập mã liên kết.,Вы не ввели код привязки.,Du hast deinen Verknüpfungscode nicht<br>eingegeben.
[ClientErrorMessage100402],Your link password has not been entered.,連携パスワードが入力されていません,연동 패스워드를 입력해 주세요.,尚未輸入連動密碼。,未输入绑定密码。,Aucun mot de passe de liaison n'a été saisi.,Tu contraseña no se ha ingresado,A senha de vinculação não foi inserida.,ไม่ได้กรอกรหัสผ่านการเชื่อมโยง,Kata sandi tautanmu belum dimasukkan.,Bạn chưa nhập mật khẩu liên kết.,Вы не ввели пароль привязки.,Du hast dein Verknüpfungspasswort nicht<br>eingegeben.
[ClientErrorMessage100403],Your link code must be a 12-digit number.,連携コードは12桁の数字になります,연동 코드는 12자리 숫자로 입력해 주세요.,請輸入由12位數字組成的連動代碼,绑定码由12位数字组成。,Un code de liaison est composé de 12 chiffres.,Tu código debe ser un número de 12 dígitos.,O código de vinculação deve conter 12 dígitos.,รหัสการเชื่อมโยงจะต้องประกอบด้วยตัวเลข 12 หลัก,Kode tautanmu harus terdiri dari 12 digit angka.,Mã liên kết phải là một số gồm 12 chữ số.,Код привязки должен состоять из 12 цифр.,Der Verknüpfungscode muss eine 12-stellige Zahl<br>sein.
[ClientErrorMessage100404],"A password must only use numbers,<br>uppercase and lowercase letters,<br>and be 8-16 characters long.",パスワードは数字、大文字、小文字のみ使用した8文字以上16文字以内です,패스워드는 숫자 및 영문 대/소문자를 포함해<br>8~16자 사이로 입력해 주세요.,請使用數字、英文大小寫字母設定長度為<br>8至16個字元的密碼。,请使用数字、大小写英文字母<br>设置长度为8至16个字符的密码。,Le mot de passe doit être constitué d'entre 8 et 16 chiffres et lettres (majuscules et minuscules).,"La contraseña solo debe usar números,<br>letras mayúsculas y minúsculas,<br>y tener entre 8 y 16 caracteres.","A senha deve ter entre 8 e 16 caracteres, contendo apenas números e letras maiúsculas ou minúsculas.",รหัสผ่านจะต้องมีความยาว 8-16 ตัวอักษร โดยอยู่ในรูปของตัวเลข<br>ตัวอักษรใหญ่<br>และตัวอักษรเล็กเท่านั้น,"Kata sandi hanya boleh menggunakan angka,<br>huruf besar dan huruf kecil,<br>serta panjangnya 8-16 karakter.","Mật khẩu chỉ được bao gồm số,<br>chữ cái viết hoa và viết thường,<br>và dài từ 8-16 ký tự.",Пароль должен состоять только из цифр<br>и строчных и заглавных букв.<br>Допустимая длина пароля 8-16 символов.,Im Passwort können nur Zahlen sowie<br>Groß- und Kleinbuchstaben verwendet werden.<br>Die Länge muss 8–16 Zeichen betragen.
[ClientErrorMessage2100001],The app has failed to start up.,アプリの起動に失敗しました,앱을 실행하지 못했습니다.,啟動遊戲失敗。,游戏启动失败。,Échec du lancement de l'application,La aplicación no ha podido iniciarse.,Falha ao iniciar o aplicativo.,การเริ่มต้นแอปล้มเหลว,Aplikasi gagal dijalankan.,Không thể khởi động ứng dụng.,Не удалось запустить приложение.,Die App konnte nicht gestartet werden.
[GooglePlayLoginErrorMessage],Google Play login has been canceled.,GooglePlayログインをキャンセルしました,Google Play 로그인을 취소했습니다.,已取消GooglePlay帳號登入。,已取消GooglePlay账号登录。,La connexion à Google Play a été annulée.,El inicio de sesión de Google Play ha sido cancelado.,Login no Google Play cancelado.,การล็อกอินเข้าสู่ Google Play ถูกยกเลิก,Login Google Play telah dibatalkan.,Đăng nhập Google Play đã bị hủy.,Вход в Google Play отменен.,Google-Play-Anmeldung wurde abgebrochen.
[AppleLoginErrorMessage],Apple login has been canceled.,Appleログインをキャンセルしました,Apple 로그인을 취소했습니다.,已取消Apple帳號登入。,已取消Apple账号登录。,La connexion à Apple a été annulée.,El inicio de sesión de Apple ha sido cancelado.,Login na Apple cancelado.,การล็อกอินเข้าสู่ Apple ถูกยกเลิก,Login Apple telah dibatalkan.,Đăng nhập Apple đã bị hủy.,Вход в Apple отменен.,Apple-Anmeldung wurde abgebrochen.
[CommonLevelFormat],Lv {0},Lv{0},Lv{0},Lv{0},Lv{0},Niv. {0},Nv{0},Nv {0},เลเวล {0},Lv {0},Lv {0},Ур {0},Lv. {0}
[DownloadFormat],{0:F1}%,{0:F1}%,{0:F1}%,{0:F1}%,{0:F1}%,{0:F1} %,{0:F1} %,{0:F1}%,{0:F1}%,{0:F1}%,{0:F1}%,{0:F1}%,{0:F1} %
[WorldFormat],World: {0},ワールド：{0},월드 : {0},世界：{0},世界：{0},Monde : {0},Mundo: {0},Mundo: {0},โลก: {0},World: {0},Thế Giới: {0},Мир: {0},Welt: {0}
[TitleTapToStart],-TAP TO START-,-TAP TO START-,-TAP TO START-,-TAP TO START-,-点击开始-,-APPUYEZ POUR COMMENCER-,-PULSA PARA INICIAR-,~TOQUE PARA COMEÇAR~,-แตะเพื่อเริ่มต้น-,-SENTUH UNTUK MEMULAI-,-NHẤN ĐỂ BẮT ĐẦU-,"-КОСНИТЕСЬ, ЧТОБЫ НАЧАТЬ-",-ZUM STARTEN TIPPEN-
[TitleVersionFormat],Ver.{0},Ver.{0},Ver.{0},Ver.{0},Ver.{0},Ver. {0},Ver.{0},Ver. {0},เวอร์ชัน{0},Ver.{0},Phiên bản {0},Ver.{0},Ver. {0}
[TitleUserIdFormat],ID:{0},ID:{0},ID : {0},ID:{0},ID:{0},ID : {0},ID: {0},ID: {0},ID:{0},ID:{0},ID: {0},ID:{0},ID: {0}
[LinkAccountDialogTitle],Account Link,アカウント連携,계정 연동,帳號連動,账号绑定,Liaison de compte,Vínculo de cuenta,Vincular conta,การเชื่อมโยงบัญชี,Tautan Akun,Liên Kết Tài Khoản,Привязка аккаунта,Kontoverknüpfung
[LinkAccountDialogLinkPasswordLabel],Use Password,パスワードを使う,패스워드 이용,使用密碼,使用密码,Via mot de passe,Usar contraseña,Usar senha,ใช้รหัสผ่าน,Gunakan Kata Sandi,Sử Dụng Mật Khẩu,Использовать пароль,Passwort benutzen
[LinkAccountDialogLinkPasswordMessage],Enter your link password to link.,連携パスワードを入力して連携する,연동 패스워드를 활용한 계정 연동,輸入連動密碼進行連動,输入绑定密码进行绑定,Saisissez un mot de passe de liaison.,Ingresa tu contraseña para vincular.,Insira sua senha de vinculação.,กรอกรหัสผ่านเชื่อมโยงเพื่อทำการเชื่อมโยง,Masukkan kata sandi untuk menautkan.,Nhập mật khẩu liên kết của bạn để liên kết.,Введите пароль для привязки.,Gib zum Verknüpfen dein<br>Verknüpfungspasswort ein.
[LinkAccountDialogLinkSnsLabel],Use Another Service,外部サービス認証を使う,외부 계정 이용,利用外部服務驗證,利用外部服务验证,Via authentification sur un service tiers,Usar otro servicio,Usar serviço de autenticação externa,ใช้บริการอื่น,Gunakan Layanan Lain,Sử Dụng Dịch Vụ Khác,Использовать другой сервис,Nutze einen anderen Dienst.
[LinkAccountLinkLabel],Account Link,アカウント連携,계정 연동,帳號連動,账号绑定,Liaison de compte,Vínculo de cuenta,Vincular conta,การเชื่อมโยงบัญชี,Tautan Akun,Liên Kết Tài Khoản,Привязка аккаунта,Kontoverknüpfung
[LinkAccountLinkPasswordDescriptionMessage],"By performing an account link, you can share<br>your game data to play on multiple devices.<br>If you used a password for your account link,<br>you will need your link code and link password.",アカウント連携を行うことで、複数の端末で<br>ゲームデータを共有してプレイできます。<br>パスワードを使用したアカウント連携には<br>連携コードと連携パスワードが必要です。,계정 연동을 통해 다수의 디바이스에서<br>게임 데이터를 공유할 수 있습니다.<br>패스워드를 이용한 계정 연동에는<br>연동 코드와 연동 패스워드가 필요합니다.,進行帳號連動後，您將能在多台裝置上共享遊戲進度。<br>使用密碼進行帳號連動時，<br>需要用到連動代碼與連動密碼。,进行账号绑定后，您将能在多台设备上共享游戏进度。<br>使用密码进行账号绑定时，<br>需要使用绑定码与绑定密码。,La liaison de compte vous permet de jouer sur<br>plusieurs appareils en partageant vos données de jeu.<br>Un code de liaison ainsi qu'un mot de passe de liaison<br>sont requis pour lier un compte via mot de passe.,"Al realizar un vínculo de cuenta, puedes compartir tus<br>datos para jugar en múltiples dispositivos.<br>Si usaste una contraseña para el vínculo de tu cuenta,<br>necesitarás tu código y la contraseña.","Ao vincular uma conta, você poderá jogar utilizando<br>os mesmos dados em dispositivos diferentes.<br>Para vincular uma conta usando uma senha,<br>você precisa de um código e de uma<br>senha de vinculação.",เมื่อเชื่อมโยงบัญชี ข้อมูลเกม<br>จะถูกแบ่งปันทำให้ท่านสามารถเล่นเกมได้บนหลายอุปกรณ์<br>หากมีการใช้งานรหัสผ่านสำหรับการเชื่อมโยงบัญชี<br>คุณจะต้องมีรหัสการเชื่อมโยงและรหัสผ่านการเชื่อมโยง,"Dengan melakukan penautan akun, kamu bisa<br>membagikan data game milikmu untuk dimainkan<br>di banyak perangkat.<br>Jika kamu menggunakan kata sandi untuk penautan<br>akunmu, kamu akan membutuhkan kode tautan dan kata sandi tautan.","Bằng cách liên kết tài khoản, bạn có thể chia sẻ<br>dữ liệu trò chơi của mình để chơi trên nhiều thiết bị.<br>Nếu bạn đã sử dụng mật khẩu khi liên kết tài khoản,<br>bạn sẽ cần mã liên kết và mật khẩu liên kết.","После привязки аккаунта ваши игровые данные<br>будут доступны для игры на нескольких устройствах.<br>Если для привязки аккаунта вы использовали пароль,<br>вам понадобятся код привязки и пароль привязки.","Mit einer Kontoverknüpfung kannst du deine Spieldaten<br>teilen, um auf mehreren Geräten zu spielen.<br>Wenn du für die Verknüpfung ein Passwort verwendet<br>hast, benötigst du deinen Verknüpfungscode und<br>dein Verknüpfungspasswort."
